,Location,Period,Dim1,First Tooltip,No
473,澳大利亚,2002,Female,4.62,AU
474,澳大利亚,2001,Both sexes,11.19,AU
475,澳大利亚,2001,Male,17.63,AU
476,澳大利亚,2001,Female,4.86,AU
477,澳大利亚,2000,Both sexes,11.85,AU
478,澳大利亚,2000,Male,18.82,AU
479,澳大利亚,2000,Female,5.02,AU
480,奥地利,2019,Both sexes,10.4,AT
481,奥地利,2019,Male,16.56,AT
482,奥地利,2019,Female,4.64,AT
483,奥地利,2018,Both sexes,11.19,AT
484,奥地利,2018,Male,18.01,AT
485,奥地利,2018,Female,4.83,AT
486,奥地利,2017,Both sexes,10.77,AT
487,奥地利,2017,Male,17.49,AT
488,奥地利,2017,Female,4.55,AT
489,奥地利,2016,Both sexes,11.13,AT
490,奥地利,2016,Male,17.11,AT
491,奥地利,2016,Female,5.65,AT
492,奥地利,2015,Both sexes,11.39,AT
493,奥地利,2015,Male,17.91,AT
494,奥地利,2015,Female,5.37,AT
495,奥地利,2014,Both sexes,12.04,AT
496,奥地利,2014,Male,18.97,AT
497,奥地利,2014,Female,5.63,AT
498,奥地利,2013,Both sexes,11.45,AT
499,奥地利,2013,Male,17.97,AT
500,奥地利,2013,Female,5.54,AT
501,奥地利,2012,Both sexes,11.78,AT
502,奥地利,2012,Male,19.33,AT
503,奥地利,2012,Female,4.8,AT
504,奥地利,2011,Both sexes,12.28,AT
505,奥地利,2011,Male,19.43,AT
506,奥地利,2011,Female,5.79,AT
507,奥地利,2010,Both sexes,12.21,AT
508,奥地利,2010,Male,19.58,AT
509,奥地利,2010,Female,5.46,AT
510,奥地利,2009,Both sexes,11.89,AT
511,奥地利,2009,Male,19.23,AT
512,奥地利,2009,Female,5.24,AT
513,奥地利,2008,Both sexes,11.67,AT
514,奥地利,2008,Male,18.77,AT
515,奥地利,2008,Female,5.35,AT
516,奥地利,2007,Both sexes,12.16,AT
517,奥地利,2007,Male,19.5,AT
518,奥地利,2007,Female,5.52,AT
519,奥地利,2006,Both sexes,12.49,AT
520,奥地利,2006,Male,20.49,AT
521,奥地利,2006,Female,5.25,AT
522,奥地利,2005,Both sexes,13.28,AT
523,奥地利,2005,Male,21.21,AT
524,奥地利,2005,Female,6.26,AT
525,奥地利,2004,Both sexes,13.63,AT
526,奥地利,2004,Male,22.26,AT
527,奥地利,2004,Female,6.1,AT
528,奥地利,2003,Both sexes,14.25,AT
529,奥地利,2003,Male,22.53,AT
530,奥地利,2003,Female,7.04,AT
531,奥地利,2002,Both sexes,15.11,AT
532,奥地利,2002,Male,24.93,AT
533,奥地利,2002,Female,6.5,AT
534,奥地利,2001,Both sexes,14.69,AT
535,奥地利,2001,Male,23.02,AT
536,奥地利,2001,Female,7.21,AT
537,奥地利,2000,Both sexes,15.82,AT
538,奥地利,2000,Male,24.88,AT
539,奥地利,2000,Female,7.87,AT
540,阿塞拜疆,2019,Both sexes,3.97,AZ
541,阿塞拜疆,2019,Male,6.61,AZ
